"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!Population of one race:"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:"," !!Total:!!Not Hispanic or Latino:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"0500000US01001","Autauga County, Alabama","58805","2117","56688","54198","41582","11352","184","873","22","185","2490","2392","521","972","337","29","352","47","54","19","43","7","0","4","3","1","3","93","50","9","0","1","7","3","2","13","0","0","8","0","0","0","0","0","0","0","0","0","5","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01003","Baldwin County, Alabama","231767","12686","219081","208713","186495","18001","1291","2029","122","775","10368","9952","1873","4660","1069","97","1919","119","71","8","95","2","3","0","23","13","0","387","173","48","8","24","42","17","19","48","7","0","0","0","0","1","0","0","0","0","0","0","29","18","0","6","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01005","Barbour County, Alabama","25223","1510","23713","23160","11086","11850","58","103","0","63","553","533","226","178","20","0","48","25","0","6","24","3","0","0","2","1","0","18","12","0","0","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US01007","Bibb County, Alabama","22293","740","21553","20953","16442","4390","39","26","9","47","600","569","165","293","10","0","77","16","4","0","0","0","0","0","4","0","0","25","13","0","0","4","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01009","Blount County, Alabama","59134","5771","53363","51063","49764","826","188","174","11","100","2300","2223","316","1315","124","26","415","0","3","0","17","1","0","6","0","0","0","62","27","4","1","3","17","4","5","0","0","0","1","0","0","0","0","0","0","0","0","0","14","11","0","0","0","1","0","0","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0500000US01011","Bullock County, Alabama","10357","503","9854","9717","2281","7388","1","9","7","31","137","114","49","32","0","0","10","6","10","3","1","0","0","0","0","3","0","18","8","0","2","1","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"0500000US01013","Butler County, Alabama","19051","260","18791","18285","9679","8389","23","143","5","46","506","472","219","135","27","0","35","31","3","0","16","0","3","0","3","0","0","32","11","4","4","0","0","1","0","4","0","0","4","0","0","4","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01015","Calhoun County, Alabama","116441","5010","111431","106863","79519","25365","386","1164","112","317","4568","4355","1241","1892","393","50","495","124","43","22","79","0","0","2","11","0","3","198","115","24","0","15","12","0","4","11","3","0","5","0","0","3","3","2","0","0","0","1","11","4","0","1","2","2","0","2","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0"
"0500000US01017","Chambers County, Alabama","34772","1237","33535","32639","18616","13441","71","385","11","115","896","839","330","291","48","1","91","54","1","0","17","1","1","0","4","0","0","52","19","14","8","1","5","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","5","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01019","Cherokee County, Alabama","24971","400","24571","23761","22563","987","109","55","1","46","810","793","177","457","16","9","97","11","0","3","15","0","0","0","6","2","0","17","8","2","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01021","Chilton County, Alabama","45014","4418","40596","39332","34878","4040","112","176","5","121","1264","1234","364","578","64","5","183","13","1","0","23","3","0","0","0","0","0","16","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","12","1","5","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0"
"0500000US01023","Choctaw County, Alabama","12665","113","12552","12312","7039","5217","24","19","0","13","240","233","82","67","11","0","32","29","1","0","6","0","0","1","4","0","0","6","0","0","0","1","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01025","Clarke County, Alabama","23087","206","22881","22396","11970","10223","74","91","1","37","485","451","172","155","17","4","49","34","11","2","5","0","0","2","0","0","0","27","16","3","0","5","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01027","Clay County, Alabama","14236","449","13787","13324","11261","1942","45","46","4","26","463","428","172","187","8","0","38","7","4","0","11","0","0","1","0","0","0","22","10","0","0","0","1","0","4","0","1","0","0","2","2","2","0","0","0","0","0","0","5","1","0","2","0","0","0","0","2","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0"
"0500000US01029","Cleburne County, Alabama","15056","284","14772","14278","13740","457","42","21","2","16","494","460","66","327","6","6","50","4","0","0","0","0","0","0","0","1","0","25","5","4","0","0","4","0","5","0","0","4","3","0","0","0","0","0","0","0","0","0","8","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"0500000US01031","Coffee County, Alabama","53465","4887","48578","45951","35759","8643","405","892","57","195","2627","2467","606","965","371","30","294","100","26","8","40","3","2","0","22","0","0","149","60","13","4","0","23","1","10","33","0","0","1","0","4","0","0","0","0","0","0","0","9","0","1","0","0","0","0","5","0","0","0","2","0","1","0","0","2","2","0","0","0","0","0","0","0"
"0500000US01033","Colbert County, Alabama","57227","1732","55495","53262","43241","9222","223","432","9","135","2233","2171","674","1003","99","11","278","68","10","0","20","5","0","0","3","0","0","59","34","5","3","4","4","2","6","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01035","Conecuh County, Alabama","11597","256","11341","11051","5835","5096","71","33","0","16","290","265","75","110","12","0","24","23","0","6","2","0","0","4","0","4","5","20","10","0","0","0","0","5","0","0","0","0","0","0","0","2","3","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"0500000US01037","Coosa County, Alabama","10387","201","10186","9887","6807","3000","25","8","0","47","299","264","100","111","2","3","15","12","0","1","16","2","0","2","0","0","0","20","8","0","2","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","13","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01039","Covington County, Alabama","37570","654","36916","35671","30657","4563","140","240","0","71","1245","1195","383","562","58","2","143","7","2","10","9","4","1","7","0","6","1","47","22","0","0","16","5","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01041","Crenshaw County, Alabama","13194","187","13007","12578","9333","3085","48","83","2","27","429","411","211","111","14","7","37","9","0","0","17","0","1","0","0","4","0","15","5","0","0","1","6","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01043","Cullman County, Alabama","87866","4146","83720","80236","78298","914","287","522","64","151","3484","3412","370","2164","182","53","616","3","3","0","13","5","0","0","1","2","0","59","24","5","1","4","8","2","8","6","0","0","0","1","0","0","0","0","0","0","0","0","13","2","5","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01045","Dale County, Alabama","49326","3254","46072","43773","32602","10100","217","648","42","164","2299","2121","604","771","237","37","327","79","18","6","24","0","0","0","7","11","0","167","64","14","2","8","13","1","10","36","2","0","7","0","1","9","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","0","2","2"
"0500000US01047","Dallas County, Alabama","38462","296","38166","37426","10363","26812","56","145","12","38","740","700","408","106","3","9","50","83","10","5","22","0","0","0","4","0","0","36","34","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0"
"0500000US01049","DeKalb County, Alabama","71608","11744","59864","56602","54529","1019","715","237","16","86","3262","3170","392","2298","84","14","340","13","0","0","11","8","3","5","2","0","0","86","36","14","0","3","17","0","7","5","0","0","3","0","0","0","0","0","1","0","0","0","6","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01051","Elmore County, Alabama","87977","2793","85184","81908","62540","18126","270","669","28","275","3276","3162","756","1431","314","19","489","62","31","5","34","0","1","0","8","12","0","112","58","15","4","2","8","0","3","18","1","0","0","0","2","1","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01053","Escambia County, Alabama","36757","751","36006","34593","22004","10922","1488","108","22","49","1413","1359","441","646","39","2","132","49","14","3","15","5","0","0","13","0","0","50","36","0","1","0","5","0","2","0","0","0","1","0","0","0","3","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0"
"0500000US01055","Etowah County, Alabama","103436","4895","98541","94282","77731","14999","332","921","39","260","4259","4068","1228","1981","210","10","507","74","20","0","28","1","0","6","0","3","0","186","103","12","0","31","19","12","2","0","0","3","0","0","0","0","3","1","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US01057","Fayette County, Alabama","16321","396","15925","15394","13552","1720","43","49","1","29","531","511","184","227","20","1","52","12","0","0","11","3","1","0","0","0","0","20","9","4","0","1","2","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01059","Franklin County, Alabama","32113","6259","25854","24994","23581","1139","128","67","2","77","860","826","241","436","13","6","102","6","5","0","7","0","0","0","6","1","3","32","11","0","0","0","4","0","2","8","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0"
"0500000US01061","Geneva County, Alabama","26659","1296","25363","24216","21654","2231","166","86","7","72","1147","1077","332","542","38","11","113","21","4","1","15","0","0","0","0","0","0","62","43","0","2","2","6","4","0","0","1","0","1","0","0","2","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0"
"0500000US01063","Greene County, Alabama","7730","61","7669","7535","1285","6227","5","7","0","11","134","122","77","13","10","0","4","14","2","0","2","0","0","0","0","0","0","9","8","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0"
"0500000US01065","Hale County, Alabama","14785","149","14636","14365","5972","8313","34","18","5","23","271","251","102","45","17","5","16","28","13","6","19","0","0","0","0","0","0","15","7","0","0","1","4","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","5","0","1","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01067","Henry County, Alabama","17146","334","16812","16246","11842","4232","50","73","0","49","566","536","155","232","55","3","70","8","0","2","11","0","0","0","0","0","0","30","6","3","4","0","8","0","5","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01069","Houston County, Alabama","107202","4481","102721","98477","68251","28232","321","1260","59","354","4244","4021","1174","1634","422","30","431","154","67","7","76","5","0","1","20","0","0","214","113","41","1","4","6","2","3","22","0","0","7","0","1","9","3","2","0","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","2","0","0","0","0","0","0","0"
"0500000US01071","Jackson County, Alabama","52579","1681","50898","47752","45123","1624","680","214","2","109","3146","3042","407","2227","78","8","276","27","2","0","10","2","0","0","2","3","0","100","58","8","0","6","6","5","0","10","0","2","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0"
"0500000US01073","Jefferson County, Alabama","674721","34856","639865","620891","324252","280112","1207","13043","311","1966","18974","18007","4669","6569","2335","113","2187","1122","269","91","482","27","12","21","64","44","2","871","425","84","15","105","91","18","35","41","9","1","21","0","8","13","1","2","0","2","0","0","91","26","3","38","15","4","0","1","0","0","0","2","0","0","2","0","5","3","1","1","0","0","0","0","0"
"0500000US01075","Lamar County, Alabama","13972","208","13764","13404","11924","1421","28","6","3","22","360","352","164","113","14","0","46","10","0","0","4","0","0","0","1","0","0","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01077","Lauderdale County, Alabama","93564","3078","90486","86933","76491","9164","295","748","31","204","3553","3386","928","1672","238","36","393","54","10","5","31","7","0","3","8","1","0","148","67","14","0","7","15","1","16","17","1","0","5","0","2","3","0","0","0","0","0","0","19","7","0","10","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01079","Lawrence County, Alabama","33073","895","32178","29616","24714","3302","1440","84","7","69","2562","2477","246","1982","62","2","143","34","2","0","2","0","0","0","2","0","2","67","25","7","0","0","12","5","14","4","0","0","0","0","0","0","0","0","0","0","0","0","11","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","7","5","2","0","0","0","0","0","0"
"0500000US01081","Lee County, Alabama","174241","9135","165106","158526","109795","39252","365","8544","108","462","6580","6221","1550","2204","1092","57","848","196","90","8","108","10","0","8","39","11","0","334","168","28","17","14","44","3","6","45","5","0","1","0","0","3","0","0","0","0","0","0","21","9","0","4","1","0","0","0","4","0","0","3","0","0","0","0","4","0","4","0","0","0","0","0","0"
"0500000US01083","Limestone County, Alabama","103570","7248","96322","91573","75692","13177","458","1857","70","319","4749","4515","1082","1992","620","48","560","86","41","9","57","0","0","0","16","4","0","224","118","22","18","16","23","6","0","17","3","0","0","0","1","0","0","0","0","0","0","0","10","5","0","0","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US01085","Lowndes County, Alabama","10311","140","10171","9985","2807","7149","9","15","0","5","186","183","85","31","8","3","5","29","10","0","7","0","0","0","1","4","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01087","Macon County, Alabama","19532","361","19171","18753","3187","15395","48","74","4","45","418","370","162","64","4","7","14","79","4","2","31","2","0","0","0","0","1","40","37","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","8","2","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01089","Madison County, Alabama","388153","24936","363217","343039","237497","91079","2132","10179","450","1702","20178","19021","4214","7322","3389","208","2161","710","366","71","435","16","0","6","80","43","0","1080","496","171","17","68","120","11","24","121","21","0","17","0","6","2","1","4","1","0","0","0","73","37","0","18","13","0","0","3","1","0","0","0","0","1","0","0","4","0","3","1","0","0","0","0","0"
"0500000US01091","Marengo County, Alabama","19323","368","18955","18610","8375","10133","6","54","1","41","345","323","114","92","8","0","44","43","3","2","13","1","0","3","0","0","0","17","9","2","0","2","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01093","Marion County, Alabama","29341","863","28478","27401","26093","1094","82","75","14","43","1077","1027","259","548","59","0","126","21","3","0","10","0","0","0","1","0","0","43","18","2","0","7","4","2","8","2","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01095","Marshall County, Alabama","97612","15658","81954","78283","74666","2293","418","579","128","199","3671","3548","631","2124","206","29","468","17","10","0","40","2","0","1","12","8","0","110","48","6","3","10","30","0","0","4","8","0","0","0","0","1","0","0","0","0","0","0","12","4","0","0","2","0","0","5","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US01097","Mobile County, Alabama","414809","13425","401384","385914","226703","145435","3743","8515","216","1302","15470","14678","3655","6036","1367","134","1952","814","203","31","330","17","14","34","39","48","4","748","385","91","20","61","55","10","28","39","10","4","2","0","19","16","6","0","2","0","0","0","38","11","3","18","0","0","1","2","1","0","0","2","0","0","0","0","6","0","6","0","0","0","0","0","0"
"0500000US01099","Monroe County, Alabama","19772","207","19565","19000","10334","8253","281","88","0","44","565","531","187","253","21","5","48","11","1","0","3","0","0","2","0","0","0","32","3","5","1","8","2","2","0","0","6","1","0","0","0","0","0","3","1","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US01101","Montgomery County, Alabama","228954","10684","218270","212312","73354","129801","364","7952","119","722","5958","5520","1897","1289","762","38","540","437","243","31","232","10","2","9","11","19","0","397","228","51","4","20","25","4","3","24","3","2","8","2","0","19","3","0","0","0","0","1","32","14","0","13","5","0","0","0","0","0","0","0","0","0","0","0","9","5","4","0","0","0","0","0","0"
"0500000US01103","Morgan County, Alabama","123421","12377","111044","105460","88238","15307","631","829","79","376","5584","5354","1309","2707","417","41","710","87","16","0","34","10","0","0","4","19","0","219","114","23","0","12","34","0","10","7","14","0","0","0","0","5","0","0","0","0","0","0","7","1","0","0","1","4","0","0","0","0","1","0","0","0","0","0","4","4","0","0","0","0","0","0","0"
