"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US53029","Island County, Washington","86857","7118","79739","73556","65856","2265","543","3916","414","562","6183","5724","826","1694","1568","213","1101","38","91","6","27","10","8","6","114","20","2","426","111","79","14","13","52","17","15","103","10","0","0","0","0","6","2","3","1","0","0","0","30","6","8","5","3","0","0","0","0","0","0","5","0","0","3","0","3","3","0","0","0","0","0","0","0"
"0500000US53031","Jefferson County, Washington","32977","1305","31672","29710","28216","207","522","487","49","229","1962","1840","175","752","319","55","488","4","0","2","2","11","6","0","23","0","3","96","29","0","2","0","22","12","2","19","0","0","2","5","0","2","0","0","1","0","0","0","26","8","0","0","0","0","0","8","3","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US53033","King County, Washington","2269675","243021","2026654","1872895","1230588","147831","11810","449729","19399","13538","153759","141379","21994","22188","58410","3419","22259","2161","3376","578","1059","810","173","75","3643","1049","185","11171","2752","2090","301","488","1648","175","152","2648","288","21","198","30","53","178","48","0","57","8","0","36","1106","427","53","176","162","71","3","164","4","0","14","24","0","3","4","1","103","73","21","3","6","0","0","0","0"
"0500000US53035","Kitsap County, Washington","275611","24184","251427","228460","199020","7338","3491","14015","2814","1782","22967","20894","3034","5540","6512","933","3291","215","337","124","85","124","40","4","588","57","10","1891","357","233","78","50","348","39","29","639","20","0","14","16","0","42","9","1","14","2","0","0","172","35","15","25","12","18","1","56","3","0","0","7","0","0","0","0","8","4","0","2","0","0","2","2","2"
"0500000US53037","Kittitas County, Washington","44337","4594","39743","37350","35323","380","407","907","87","246","2393","2267","240","830","507","78","528","0","8","11","4","13","5","0","41","2","0","122","36","22","0","15","14","5","12","15","0","1","0","0","0","1","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"0500000US53039","Klickitat County, Washington","22735","2913","19822","18581","17731","64","503","135","35","113","1241","1201","89","557","162","25","333","4","4","3","2","0","14","0","2","5","1","24","0","0","0","5","1","0","0","13","2","1","0","1","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","12","0","9","3","0","0","0","0","0"
"0500000US53041","Lewis County, Washington","82149","8830","73319","68360","65496","530","978","796","157","403","4959","4671","433","2361","573","165","1042","10","19","5","6","6","0","2","35","9","5","249","73","25","0","15","45","14","8","59","1","4","0","0","0","0","0","1","0","0","4","0","36","10","0","3","12","0","0","5","0","0","6","0","0","0","0","0","3","3","0","0","0","0","0","0","0"
"0500000US53043","Lincoln County, Washington","10876","385","10491","9933","9576","15","204","67","14","57","558","516","55","272","67","18","92","5","3","0","0","0","0","0","1","3","0","35","5","9","5","7","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","7","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US53045","Mason County, Washington","65726","7595","58131","53634","49591","688","1959","758","216","422","4497","4222","407","1992","648","162","784","20","22","6","10","23","5","7","126","10","0","249","70","9","3","2","33","25","20","57","18","8","0","0","0","1","0","0","3","0","0","0","23","4","2","2","5","0","0","3","4","0","0","0","3","0","0","0","3","0","0","2","1","0","0","0","0"
"0500000US53047","Okanogan County, Washington","42104","8197","33907","31848","26522","159","4588","268","40","271","2059","1949","104","1184","176","30","425","19","2","0","2","5","1","0","0","0","1","97","27","5","2","4","22","2","7","10","11","0","0","3","0","0","1","1","0","2","0","0","9","6","0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","1","1","0","2","0","0","0","0"
"0500000US53049","Pacific County, Washington","23365","2196","21169","19829","18609","100","501","461","39","119","1340","1247","83","667","149","27","294","6","0","0","0","3","0","0","8","7","3","79","34","4","0","5","8","0","1","13","8","1","0","3","1","0","0","1","0","0","0","0","6","0","3","1","0","0","0","2","0","0","0","0","0","0","0","0","8","3","5","0","0","0","0","0","0"
"0500000US53051","Pend Oreille County, Washington","13401","448","12953","12254","11684","54","373","69","9","65","699","644","34","328","47","2","214","2","2","0","8","1","0","0","5","1","0","52","12","0","0","5","18","0","2","9","0","0","0","6","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0500000US53053","Pierce County, Washington","921130","111811","809319","728384","569815","63059","9642","62126","18182","5560","80935","72571","16917","15973","19787","2842","9052","1184","2314","789","592","308","128","57","2358","218","52","7566","1843","1669","323","243","918","203","121","1762","85","16","112","27","25","154","17","1","33","0","1","13","732","240","42","71","201","17","7","131","6","2","11","3","0","0","1","0","64","41","9","6","8","0","0","2","2"
"0500000US53055","San Juan County, Washington","17788","1298","16490","15533","15024","48","92","224","23","122","957","906","67","327","176","28","298","3","0","0","6","0","0","0","0","1","0","48","15","4","1","0","13","0","0","12","1","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US53057","Skagit County, Washington","129523","23792","105731","99074","92347","793","2052","2771","388","723","6657","6301","619","2401","1265","150","1618","54","22","5","3","36","12","15","83","10","8","326","63","31","12","5","94","13","10","81","1","0","3","0","4","2","1","2","4","0","0","0","23","11","3","1","5","0","0","1","0","1","0","1","0","0","0","0","7","7","0","0","0","0","0","0","0"
